,title,keywords,id,genres,cast,director,soup
0,Avatar,culture clash future space war space colony society,19995,Action Adventure Fantasy Science Fiction,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron,avatar cultur clash futur space war space coloni societi 19995 action adventur fantasi scienc fiction sam worthington zoe saldana sigourney weaver stephen lang michel rodriguez jame cameron
1,Pirates of the Caribbean: At World's End,ocean drug abuse exotic island east india trading company love of one's life,285,Adventure Fantasy Action,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski,pirat of the caribbean: at world' end ocean drug abus exot island east india trade compani love of one' life 285 adventur fantasi action johnni depp orlando bloom keira knightley stellan skarsg\u00e5rd chow yun-fat gore verbinski
2,Spectre,spy based on novel secret agent sequel mi6,206647,Action Adventure Crime,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes,spectr spi base on novel secret agent sequel mi6 206647 action adventur crime daniel craig christoph waltz l\u00e9a seydoux ralph fienn monica bellucci sam mend
3,The Dark Knight Rises,dc comics crime fighter terrorist secret identity burglar,49026,Action Crime Drama Thriller,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan,the dark knight rise dc comic crime fighter terrorist secret ident burglar 49026 action crime drama thriller christian bale michael cain gari oldman ann hathaway tom hardi christoph nolan
4,John Carter,based on novel mars medallion space travel princess,49529,Action Adventure Science Fiction,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton,john carter base on novel mar medallion space travel princess 49529 action adventur scienc fiction taylor kitsch lynn collin samantha morton willem dafo thoma haden church andrew stanton
5,Spider-Man 3,dual identity amnesia sandstorm love of one's life forgiveness,559,Fantasy Action Adventure,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi,spider-man 3 dual ident amnesia sandstorm love of one' life forgiv 559 fantasi action adventur tobey maguir kirsten dunst jame franco thoma haden church topher grace sam raimi
6,Tangled,hostage magic horse fairy tale musical,38757,Animation Family,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard,tangl hostag magic hors fairi tale music 38757 anim famili zachari levi mandi moor donna murphi ron perlman m.c. gainey byron howard
7,Avengers: Age of Ultron,marvel comic sequel superhero based on comic book vision,99861,Action Adventure Science Fiction,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon,avengers: age of ultron marvel comic sequel superhero base on comic book vision 99861 action adventur scienc fiction robert downey jr. chri hemsworth mark ruffalo chri evan scarlett johansson joss whedon
8,Harry Potter and the Half-Blood Prince,witch magic broom school of witchcraft wizardry,767,Adventure Fantasy Family,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates,harri potter and the half-blood princ witch magic broom school of witchcraft wizardri 767 adventur fantasi famili daniel radcliff rupert grint emma watson tom felton michael gambon david yate
9,Batman v Superman: Dawn of Justice,dc comics vigilante superhero based on comic book revenge,209112,Action Adventure Fantasy,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder,batman v superman: dawn of justic dc comic vigilant superhero base on comic book reveng 209112 action adventur fantasi ben affleck henri cavil gal gadot ami adam jess eisenberg zack snyder
10,Superman Returns,saving the world dc comics invulnerability sequel superhero,1452,Adventure Fantasy Action Science Fiction,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,Bryan Singer,superman return save the world dc comic invulner sequel superhero 1452 adventur fantasi action scienc fiction brandon routh kevin spacey kate bosworth jame marsden parker posey bryan singer
11,Quantum of Solace,killing undercover secret agent british secret service,10764,Adventure Action Thriller Crime,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster,quantum of solac kill undercov secret agent british secret servic 10764 adventur action thriller crime daniel craig olga kurylenko mathieu amalr judi dench giancarlo giannini marc forster
12,Pirates of the Caribbean: Dead Man's Chest,witch fortune teller bondage exotic island monster,58,Adventure Fantasy Action,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski,pirat of the caribbean: dead man' chest witch fortun teller bondag exot island monster 58 adventur fantasi action johnni depp orlando bloom keira knightley stellan skarsg\u00e5rd bill nighi gore verbinski
13,The Lone Ranger,texas horse survivor texas ranger partner,57201,Action Adventure Western,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski,the lone ranger texa hors survivor texa ranger partner 57201 action adventur western johnni depp armi hammer william fichtner helena bonham carter jame badg dale gore verbinski
14,Man of Steel,saving the world dc comics superhero based on comic book superhuman,49521,Action Adventure Fantasy Science Fiction,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder,man of steel save the world dc comic superhero base on comic book superhuman 49521 action adventur fantasi scienc fiction henri cavil ami adam michael shannon kevin costner dian lane zack snyder
15,The Chronicles of Narnia: Prince Caspian,based on novel fictional place brother sister relationship lion human being,2454,Adventure Family Fantasy,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson,the chronicl of narnia: princ caspian base on novel fiction place brother sister relationship lion human be 2454 adventur famili fantasi ben barn william moseley anna popplewel skandar keyn georgi henley andrew adamson
16,The Avengers,new york shield marvel comic superhero based on comic book,24428,Science Fiction Action Adventure,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon,the aveng new york shield marvel comic superhero base on comic book 24428 scienc fiction action adventur robert downey jr. chri evan mark ruffalo chri hemsworth scarlett johansson joss whedon
17,Pirates of the Caribbean: On Stranger Tides,sea captain mutiny sword prime minister,1865,Adventure Action Fantasy,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall,pirat of the caribbean: on stranger tide sea captain mutini sword prime minist 1865 adventur action fantasi johnni depp pen\u00e9lop cruz ian mcshane kevin mcnalli geoffrey rush rob marshal
18,Men in Black 3,time travel time machine alien fictional government agency seeing the future,41154,Action Comedy Science Fiction,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld,men in black 3 time travel time machin alien fiction govern agenc see the futur 41154 action comedi scienc fiction will smith tommi lee jone josh brolin michael stuhlbarg emma thompson barri sonnenfeld
19,The Hobbit: The Battle of the Five Armies,corruption elves dwarves orcs middle-earth (tolkien),122917,Action Adventure Fantasy,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson,the hobbit: the battl of the five armi corrupt elv dwarv orc middle-earth (tolkien) 122917 action adventur fantasi martin freeman ian mckellen richard armitag ken stott graham mctavish peter jackson
20,The Amazing Spider-Man,loss of father vigilante serum marvel comic scientific experiment,1930,Action Adventure Fantasy,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb,the amaz spider-man loss of father vigilant serum marvel comic scientif experi 1930 action adventur fantasi andrew garfield emma stone rhi ifan deni leari campbel scott marc webb
21,Robin Hood,robin hood archer knight sherwood forest bow and arrow,20662,Action Adventure,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott,robin hood robin hood archer knight sherwood forest bow and arrow 20662 action adventur russel crow cate blanchett max von sydow william hurt mark strong ridley scott
22,The Hobbit: The Desolation of Smaug,elves dwarves orcs hobbit dragon,57158,Adventure Fantasy,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson,the hobbit: the desol of smaug elv dwarv orc hobbit dragon 57158 adventur fantasi martin freeman ian mckellen richard armitag ken stott graham mctavish peter jackson
23,The Golden Compass,england compass experiment lordship uncle,2268,Adventure Fantasy,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz,the golden compass england compass experi lordship uncl 2268 adventur fantasi dakota blue richard nicol kidman daniel craig sam elliott eva green chri weitz
24,King Kong,film business screenplay show business film making film producer,254,Adventure Drama Action,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson,king kong film busi screenplay show busi film make film produc 254 adventur drama action naomi watt jack black adrien brodi thoma kretschmann colin hank peter jackson
